OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
365,69797488,St Michael's Hospital - Emergency Department,Rotary Club of Toronto Transition Centre; Rotary Transition Centre; St Mike's; Unity Health Toronto,168,Ryerson,Emergency-Crisis,Emergency & Crisis,Church-Yonge Corridor,75
366,69797490,St Michael's Hospital - Mental Health Emergency Services Area ,Mobile Crisis Intervention Team; St Mike's; Unity Health Toronto; Psychiatric Emergency Services; MHSEA,168,Ryerson,Emergency-Crisis,Emergency & Crisis,Church-Yonge Corridor,75
367,69797602,Sunnybrook Health Sciences Centre - Emergency Department,Regional Trauma Centre; Sunnybrook Hospital,41,Bridle Path-Sunnybrook-York Mills,Emergency-Crisis,Emergency & Crisis,Bridle Path-Sunnybrook-York Mills,41
368,69799318,Toronto Seniors Helpline - Toronto Seniors Helpline,CBX2; CNAP; Community Navigation and Access Program; COSS; COVID19 Mental Health Support Strategy; Crisis Outreach Service for Seniors; CV19; Senior's Crisis Line; Seniors Crisis Line; WoodGreen Community Services,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
369,69797703,"University Health Network, Toronto General Hospital - Emergency Department",TGH; UHN ; CV19,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
370,69797765,"University Health Network, Toronto Western Hospital - Emergency Department",TWH; UHN; Western Hospital; CV19,78,Kensington-Chinatown,Emergency-Crisis,Emergency & Crisis,Kensington-Chinatown,78
371,69800357,Victim Services Toronto - Victim Crisis Assistance Ontario,CV19; HT1; Support Link; SupportLink; VCAO; VCARS; Victim Crisis Assistance and Referral Services; Victim Quick Response Program +; Victim Quick Response Program Plus; VQRP Plus; VQRP+; VST,169,Bay-Cloverhill,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
372,72794144,Victim Services Toronto - Victim Services Toronto,CBX2; TEARtalk; Community Crisis Response; Domestic Violence Emergency Response System DVERS; High Risk Support Services; HT1; In a Digital World; Support Link SupportLink; TEAR Leadership Program; Teens Ending Abusive Relationships; VCAO VCARS Victim Crisis Assistance and Referral Service; Victim Crisis Assistance Ontario; VQRP+ VST; CV19,169,Bay-Cloverhill,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
373,69800870,Warden Woods Community Centre - COVID 19 All in One Support Line,COVID19 All in One Support Line; COVID-19 All in One Support Line; CV19,121,Oakridge,Emergency-Crisis,Emergency & Crisis,Oakridge,121
374,69800868,Warden Woods Community Centre - Crisis Intervention Assistance,CV19,121,Oakridge,Emergency-Crisis,Emergency & Crisis,Oakridge,121
375,69806727,William Osler Health System - Etobicoke General Emergency Department,William Osler Health Centre; WOHS,1,West Humber-Clairville,Emergency-Crisis,Emergency & Crisis,West Humber-Clairville,1
376,69798037,Women's College Hospital - Sexual Assault / Domestic Violence Care Centre,CV19; HT1; SA/DVCC; Sexual Assault and Domestic Violence Care Centre; Sexual Assault Care Centre; WCH; Womens College Hospital,169,Bay-Cloverhill,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
377,69801668,Ability Learning Network - Ability Learning Network,ALN,171,Junction-Wallace Emerson,Employment-Education,Employment & Education,Dovercourt-Wallace Emerson-Junction,93
378,69798971,Academy of Computer and Employment Skills - Academy of Computer and Employment Skills,Working Skills Centre; WSC,174,South Eglinton-Davisville,Employment-Education,Employment & Education,Mount Pleasant West,104
379,69795040,ACCES Employment - ACCES Employment,ACCESS; Bridge Training program; Bridging Program; Bridging Services; Canadian Employment Connections; CV19; Pre-arrival services; Prearrival Services,81,Trinity-Bellwoods,Employment-Education,Employment & Education,Trinity-Bellwoods,81
380,69795043,"ACCES Employment - Ontario Employment Services, North York Location",3961B; ACCESS; Accessible Community Counselling and Employment Services; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Second Career,53,Henry Farm,Employment-Education,Employment & Education,Henry Farm,53
381,69795046,"ACCES Employment - Ontario Employment Services, Scarborough Location",3961C; ACCESS; Accessible Community Counselling and Employment Services; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Second Career,142,Woburn North,Employment-Education,Employment & Education,Woburn,137
382,69795038,"ACCES Employment - Ontario Employment Services, Toronto Location",3961A; ACCESS; Accessible Community Counselling and Employment Services; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Second Career; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,81,Trinity-Bellwoods,Employment-Education,Employment & Education,Trinity-Bellwoods,81
383,69806784,"Achev - Ontario Employment Services, Toronto Don Mills Services",4042A; Canada-Ontario Job Grant; CET; COJG; CV19; Employment Ontario; Job Connect; OES; Ontario Employment Services; Second Career; TCET,42,Banbury-Don Mills,Employment-Education,Employment & Education,Banbury-Don Mills,42
384,69806787,"Achev - Ontario Employment Services, Toronto Parliament Services",4042B; Canada-Ontario Job Grant; CET; COJG; CV19; Employment Ontario; Job Connect; OES; Ontario Employment Services; Second Career; TCET,71,Cabbagetown-South St.James Town,Employment-Education,Employment & Education,Cabbagetown-South St.James Town,71
385,70080563,AIESEC Canada - AIESEC Canada,,173,North Toronto,Employment-Education,Employment & Education,Mount Pleasant West,104
386,69800155,Alexandra Park Neighbourhood Learning Centre - Alexandra Park Neighbourhood Learning Centre,CV19; LBS; Literacy and Basic Skills,78,Kensington-Chinatown,Employment-Education,Employment & Education,Kensington-Chinatown,78
387,69800015,AlphaPlus - AlphaPlus,4630A; Alpha Plus Centre; Alpha Route; AlphaRoute; LBS; Literacy and Basic Skills,99,Mount Pleasant East,Employment-Education,Employment & Education,Mount Pleasant East,99
388,69796130,Alpha-Toronto - Alpha-Toronto,CV19; Marie Luce-LeBlanc Library,168,Ryerson,Employment-Education,Employment & Education,Church-Yonge Corridor,75
389,69796128,Alpha-Toronto - Literacy and Basic Skills,Alpha Toronto; Collège Boréal; 4496A; CV19; French Literacy Centre; LBS; Marie Luce-LeBlanc Library,168,Ryerson,Employment-Education,Employment & Education,Church-Yonge Corridor,75
390,72793723,Building Up - Building Up,CV19; BU Toronto; Building Up TO; Building Up Toronto,112,Beechborough-Greenbrook,Employment-Education,Employment & Education,Beechborough-Greenbrook,112
391,69795439,CAFCAN - Ontario Employment Services, 5188A ; CAFCAN; Canada-Ontario Job Grant; Caribbean African Canadian Social Services; Caribbean Youth and Family Services; COJG; Employment Ontario; JCA; Second Career,22,Humbermede,Employment-Education,Employment & Education,Humbermede,22
392,69800434,Canadian Council on Rehabilitation and Work - Canadian Council on Rehabilitation and Work,CCRW; CV19; JAS; Job Accommodation Service; Partners Program; WESP; WORKink; WORKink.com; Workplace Essential Skills Partnership,99,Mount Pleasant East,Employment-Education,Employment & Education,Mount Pleasant East,99
393,69800432,Canadian Council on Rehabilitation and Work - Workplace Essential Skills Partnership,4748A; CCRW; CV19; EAS; Employment Assessment Services; OEAS; Ontario Employment Assessment Services; Ontario Employment Assistance Services; WESP,99,Mount Pleasant East,Employment-Education,Employment & Education,Mount Pleasant East,99
394,69799524,Canadian Hospitality Workers Relief Fund - Canadian Hospitality Workers Relief Fund,CHWRF; cv19,170,Yonge-Bay Corridor,Employment-Education,Employment & Education,Bay Street Corridor,76
395,69800199,Canadian Training Institute - Canadian Training Institute,CTI,31,Yorkdale-Glen Park,Employment-Education,Employment & Education,Yorkdale-Glen Park,31
396,69838100,CARE Centre for Internationally Educated Nurses - CARE Centre for Internationally Educated Nurses,Centre for Internationally Educated Nurses; CV19,83,Dufferin Grove,Employment-Education,Employment & Education,Dufferin Grove,83
397,69799699,Career Dynamics Network - Career Dynamics Network,ODSP Employment Support Program,36,Newtonbrook West,Employment-Education,Employment & Education,Newtonbrook West,36
398,69800438,Career Edge Organization - Career Edge Organization,,173,North Toronto,Employment-Education,Employment & Education,Mount Pleasant West,104
399,69800830,"Career Foundation - Empowering Abilities Program, Weston Employment Centre",CV19,113,Weston,Employment-Education,Employment & Education,Weston,113
400,69800837,"Career Foundation - Ontario Employment Services, Cliffside Plaza",3989C; Canada-Ontario Job Grant; COJG; CV19; Second Career,122,Birchcliffe-Cliffside,Employment-Education,Employment & Education,Birchcliffe-Cliffside,122
401,69800827,"Career Foundation - Ontario Employment Services, Etobicoke Employment Centre",3989A; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario Employment Services; Second Career; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,6,Kingsview Village-The Westway,Employment-Education,Employment & Education,Kingsview Village-The Westway,6
402,70645934,"Career Foundation - Ontario Employment Services, Lawrence Allen Centre Employment Centre",3989D; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario Employment Services; Second Career; YJC; YJCS; Youth Job Connection/Youth Job Connection Summer,31,Yorkdale-Glen Park,Employment-Education,Employment & Education,Yorkdale-Glen Park,31
403,69800840,"Career Foundation - Ontario Employment Services, St Clair Avenue East",3989E; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Job Connect; Second Career,98,Rosedale-Moore Park,Employment-Education,Employment & Education,Rosedale-Moore Park,98
404,69800832,"Career Foundation - Ontario Employment Services, Weston Employment Centre",3989B; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario Employment Services; Second Career,113,Weston,Employment-Education,Employment & Education,Weston,113
405,69801144,Centennial College - Automotive Service Technician Co-op Diploma Apprenticeship,CODA,119,Wexford/Maryvale,Employment-Education,Employment & Education,Wexford/Maryvale,119
406,69801153,Centennial College - Centennial College,,170,Yonge-Bay Corridor,Employment-Education,Employment & Education,Bay Street Corridor,76
407,69801133,"Centennial College - Construction and Maintenance, Electrical Engineering Technician",CODA; Co-op Diploma Apprenticeship,142,Woburn North,Employment-Education,Employment & Education,Woburn,137
408,69801146,"Centennial College - English for Academic Purposes, School of Advancement",EAP,119,Wexford/Maryvale,Employment-Education,Employment & Education,Wexford/Maryvale,119
409,69801148,"Centennial College - School of Advancement, ACE / Career and College Transition Program",Academic and Career Entrance Program,119,Wexford/Maryvale,Employment-Education,Employment & Education,Wexford/Maryvale,119
410,69801150,"Centennial College - School of Advancement, Literacy and Basic Skills",4000D; Academic Upgrading; LBS,119,Wexford/Maryvale,Employment-Education,Employment & Education,Wexford/Maryvale,119
411,71408218,Centre francophone du Grand Toronto - Customer Service and Success Training,CFGT; Francophone Centre of Toronto; French Community Centre; Test de français international; TFI; Toronto Francophone Centre,164,Wellington Place,Employment-Education,Employment & Education,Waterfront Communities-The Island,77
412,69799987,"Centre francophone du Grand Toronto - Employment Services, Head Office",4011A; CFGT; Employment Ontario; ES; SC; Second Career; YJC; YJCS; Youth ion; Youth Job Connection; Youth Job Connection Summer,164,Wellington Place,Employment-Education,Employment & Education,Waterfront Communities-The Island,77
413,69801391,Collège Boréal - Immigrant Services,Centre de formation multidisciplinaire; CFM; College Boreal; FSL; Language Instruction for Newcomers to Canada; LINC; Occupation Specific Language Training; OSLT,166,St Lawrence-East Bayfront-The Islands,Employment-Education,Employment & Education,Waterfront Communities-The Island,77
414,69801389,Collège Boréal - Literacy and Basic Skills,Alpha Toronto; Collège Boréal; 4118P; CV19; French Literacy Centre; LBS; Marie Luce-LeBlanc Library,166,St Lawrence-East Bayfront-The Islands,Employment-Education,Employment & Education,Waterfront Communities-The Island,77
415,69383766,College of Dietitians of Ontario - College of Dietitians of Ontario,,50,Newtonbrook East,Employment-Education,Employment & Education,Newtonbrook East,50
416,69838198,College of Early Childhood Educators - College of Early Childhood Educators,CECE; ECE; RECE; Registered Early Childhood Educators,78,Kensington-Chinatown,Employment-Education,Employment & Education,Kensington-Chinatown,78
417,69619612,College of Occupational Therapists of Ontario - College of Occupational Therapists of Ontario,OT,166,St Lawrence-East Bayfront-The Islands,Employment-Education,Employment & Education,Waterfront Communities-The Island,77
418,69799460,College Sector Committee for Adult Upgrading - College Sector Committee for Adult Upgrading,Academic and Career Entrance Online Upgrading; ACE Distance; CSC; CSCAU,170,Yonge-Bay Corridor,Employment-Education,Employment & Education,Bay Street Corridor,76
419,69801530,Conseil scolaire catholique MonAvenir - Conseil scolaire catholique MonAvenir,Board of Education; Elementary school; Secondary school; Toronto French Catholic School Board,36,Newtonbrook West,Employment-Education,Employment & Education,Newtonbrook West,36
420,69794495,Conseil scolaire catholique MonAvenir - OYAP program - Ontario Youth Apprenticeship Program,4871A; Board of Education; Employment Ontario; OYAP; Toronto French Catholic School Board,36,Newtonbrook West,Employment-Education,Employment & Education,Newtonbrook West,36
421,69799886,"Conseil scolaire Viamonde - Conseil scolaire Viamonde, Toronto",Board of Education; Toronto French Public School Board,29,Maple Leaf,Employment-Education,Employment & Education,Maple Leaf,29
422,69799884,Conseil scolaire Viamonde - Ontario Youth Apprenticeship Program,4897A; Board of Education; Employment Ontario; OYAP; Toronto French Public School Board,29,Maple Leaf,Employment-Education,Employment & Education,Maple Leaf,29
423,69794841,"Corbrook Awakening Abilities - Corbrook Awakening Abilities, East Campus",Centennial College Food Packaging and Processing Certificate; Corbrook; Corbrook Sheltered Workshops; REVEL,142,Woburn North,Employment-Education,Employment & Education,Woburn,137
424,69794838,"Corbrook Awakening Abilities - Corbrook Awakening Abilities, West Campus",Corbrook; Corbrook Sheltered Workshops,30,Brookhaven-Amesbury,Employment-Education,Employment & Education,Brookhaven-Amesbury,30
425,69794884,"COSTI - Ontario Employment Services, Employment Services, Toronto",3001B; Canada-Ontario Job Grant; COJG; COSTI Immigrant Services; CV19; Employment Ontario; Employment Strategies for Individuals with International Experience; Ontario Works Employment Preparation and Placement Services; Second Career; TRIEC mentoring partnership; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,30,Brookhaven-Amesbury,Employment-Education,Employment & Education,Brookhaven-Amesbury,30
